,key,accession,entry_protein_locations_fragments_start,entry_protein_locations_fragments_end,entry_protein_locations_fragments_dc-status,entry_protein_locations_model,entry_protein_locations_score,protein_length,source_database,entry_type,entry_integrated
6430,6430,PF03060,4,330,CONTINUOUS,PF03060,6.2e-71,358,pfam,domain,ipr004136
6431,6431,PF03060,7,342,CONTINUOUS,PF03060,3.6e-64,355,pfam,domain,ipr004136
6432,6432,PF03060,72,302,CONTINUOUS,PF03060,2.9e-23,322,pfam,domain,ipr004136
6433,6433,PF03060,4,299,CONTINUOUS,PF03060,6.6e-61,310,pfam,domain,ipr004136
6434,6434,PF03060,2,293,CONTINUOUS,PF03060,1e-67,310,pfam,domain,ipr004136
6435,6435,PF03060,4,299,CONTINUOUS,PF03060,3.6e-63,310,pfam,domain,ipr004136
6436,6436,PF03060,3,301,CONTINUOUS,PF03060,5.9e-74,322,pfam,domain,ipr004136
6437,6437,PF03060,4,302,CONTINUOUS,PF03060,2.2e-60,316,pfam,domain,ipr004136
6438,6438,PF03060,15,376,CONTINUOUS,PF03060,5.1e-33,383,pfam,domain,ipr004136
6439,6439,PF03060,18,307,CONTINUOUS,PF03060,1.1e-26,422,pfam,domain,ipr004136
6440,6440,PF03060,3,343,CONTINUOUS,PF03060,3.6e-79,346,pfam,domain,ipr004136
6441,6441,PF03060,10,357,CONTINUOUS,PF03060,2.7e-61,388,pfam,domain,ipr004136
6442,6442,PF03060,10,362,CONTINUOUS,PF03060,3.4e-76,370,pfam,domain,ipr004136
6443,6443,PF03060,3,302,CONTINUOUS,PF03060,2.2e-73,324,pfam,domain,ipr004136
6444,6444,PF03060,4,300,CONTINUOUS,PF03060,3.4e-63,314,pfam,domain,ipr004136
6445,6445,PF03060,7,78,CONTINUOUS,PF03060,3.2e-24,315,pfam,domain,ipr004136
6446,6446,PF03060,14,308,CONTINUOUS,PF03060,2.9e-49,315,pfam,domain,ipr004136
6447,6447,PF03060,5,341,CONTINUOUS,PF03060,1e-96,343,pfam,domain,ipr004136
6448,6448,PF03060,322,588,CONTINUOUS,PF03060,3e-08,752,pfam,domain,ipr004136
6449,6449,PF03060,3,76,CONTINUOUS,PF03060,7e-21,308,pfam,domain,ipr004136
6450,6450,PF03060,15,377,CONTINUOUS,PF03060,4.3e-30,386,pfam,domain,ipr004136
6451,6451,PF03060,6,340,CONTINUOUS,PF03060,2.3e-77,354,pfam,domain,ipr004136
6452,6452,PF03060,8,338,CONTINUOUS,PF03060,3.9e-73,357,pfam,domain,ipr004136
6453,6453,PF03060,10,305,CONTINUOUS,PF03060,6.8e-26,317,pfam,domain,ipr004136
6454,6454,PF03060,85,250,CONTINUOUS,PF03060,2.3e-21,323,pfam,domain,ipr004136
6455,6455,PF03060,3,343,CONTINUOUS,PF03060,5.1e-83,355,pfam,domain,ipr004136
6456,6456,PF03060,21,360,CONTINUOUS,PF03060,3.7e-45,377,pfam,domain,ipr004136
6457,6457,PF03060,8,345,CONTINUOUS,PF03060,1.6e-71,363,pfam,domain,ipr004136
6458,6458,PF03060,5,367,CONTINUOUS,PF03060,1.3e-71,380,pfam,domain,ipr004136
6459,6459,PF03060,5,310,CONTINUOUS,PF03060,3.9e-54,326,pfam,domain,ipr004136
6460,6460,PF03060,16,327,CONTINUOUS,PF03060,7.3e-11,467,pfam,domain,ipr004136
6461,6461,PF03060,93,307,CONTINUOUS,PF03060,1e-15,323,pfam,domain,ipr004136
6462,6462,PF03060,3,303,CONTINUOUS,PF03060,1.3e-72,324,pfam,domain,ipr004136
6463,6463,PF03060,7,301,CONTINUOUS,PF03060,3.6e-72,316,pfam,domain,ipr004136
6464,6464,PF03060,26,337,CONTINUOUS,PF03060,1.3e-35,349,pfam,domain,ipr004136
6465,6465,PF03060,3,303,CONTINUOUS,PF03060,4.6e-73,324,pfam,domain,ipr004136
6466,6466,PF03060,4,319,CONTINUOUS,PF03060,3.2e-49,326,pfam,domain,ipr004136
6467,6467,PF03060,3,302,CONTINUOUS,PF03060,3.8e-72,321,pfam,domain,ipr004136
6468,6468,PF03060,3,302,CONTINUOUS,PF03060,6.1e-72,321,pfam,domain,ipr004136
6469,6469,PF03060,3,302,CONTINUOUS,PF03060,3.1e-72,321,pfam,domain,ipr004136
6470,6470,PF03060,3,302,CONTINUOUS,PF03060,6.8e-72,321,pfam,domain,ipr004136
6471,6471,PF03060,3,302,CONTINUOUS,PF03060,7.6e-72,321,pfam,domain,ipr004136
6472,6472,PF03060,4,319,CONTINUOUS,PF03060,1.9e-49,326,pfam,domain,ipr004136
6473,6473,PF03060,3,302,CONTINUOUS,PF03060,1.6e-72,321,pfam,domain,ipr004136
6474,6474,PF03060,3,302,CONTINUOUS,PF03060,5.5e-72,321,pfam,domain,ipr004136
6475,6475,PF03060,3,302,CONTINUOUS,PF03060,1.4e-72,321,pfam,domain,ipr004136
6476,6476,PF03060,3,302,CONTINUOUS,PF03060,1.8e-72,321,pfam,domain,ipr004136
6477,6477,PF03060,246,338,CONTINUOUS,PF03060,1.3e-07,480,pfam,domain,ipr004136
6478,6478,PF03060,80,309,CONTINUOUS,PF03060,6e-24,334,pfam,domain,ipr004136
6479,6479,PF03060,15,345,CONTINUOUS,PF03060,6.4e-78,361,pfam,domain,ipr004136
6480,6480,PF03060,15,374,CONTINUOUS,PF03060,5.6e-33,394,pfam,domain,ipr004136
6481,6481,PF03060,89,311,CONTINUOUS,PF03060,1.3e-22,327,pfam,domain,ipr004136
6482,6482,PF03060,12,61,CONTINUOUS,PF03060,2.6e-07,314,pfam,domain,ipr004136
6483,6483,PF03060,58,287,CONTINUOUS,PF03060,2.3e-31,298,pfam,domain,ipr004136
6484,6484,PF03060,2,327,CONTINUOUS,PF03060,3.1e-106,332,pfam,domain,ipr004136
6485,6485,PF03060,5,342,CONTINUOUS,PF03060,3.3e-105,355,pfam,domain,ipr004136
6486,6486,PF03060,158,467,CONTINUOUS,PF03060,2.2e-49,487,pfam,domain,ipr004136
6487,6487,PF03060,21,354,CONTINUOUS,PF03060,1.7e-43,375,pfam,domain,ipr004136
6488,6488,PF03060,130,245,CONTINUOUS,PF03060,3.1e-28,351,pfam,domain,ipr004136
6489,6489,PF03060,113,329,CONTINUOUS,PF03060,5e-24,347,pfam,domain,ipr004136
6490,6490,PF03060,676,917,CONTINUOUS,PF03060,5.3e-09,1076,pfam,domain,ipr004136
6491,6491,PF03060,5,68,CONTINUOUS,PF03060,2.6e-09,315,pfam,domain,ipr004136
6492,6492,PF03060,5,131,CONTINUOUS,PF03060,5.2e-27,132,pfam,domain,ipr004136
6493,6493,PF03060,20,359,CONTINUOUS,PF03060,1.7e-114,386,pfam,domain,ipr004136
6494,6494,PF03060,5,342,CONTINUOUS,PF03060,2.6e-99,356,pfam,domain,ipr004136
6495,6495,PF03060,7,310,CONTINUOUS,PF03060,2.9e-43,376,pfam,domain,ipr004136
6496,6496,PF03060,23,361,CONTINUOUS,PF03060,3.5e-46,376,pfam,domain,ipr004136
6497,6497,PF03060,12,71,CONTINUOUS,PF03060,9.9e-09,279,pfam,domain,ipr004136
6498,6498,PF03060,5,309,CONTINUOUS,PF03060,8.3e-53,337,pfam,domain,ipr004136
6499,6499,PF03060,21,358,CONTINUOUS,PF03060,1.5e-53,373,pfam,domain,ipr004136
6500,6500,PF03060,5,342,CONTINUOUS,PF03060,1.2e-99,357,pfam,domain,ipr004136
6501,6501,PF03060,4,358,CONTINUOUS,PF03060,5.2e-54,373,pfam,domain,ipr004136
6502,6502,PF03060,5,59,CONTINUOUS,PF03060,2.6e-10,328,pfam,domain,ipr004136
6503,6503,PF03060,23,300,CONTINUOUS,PF03060,3.3e-38,376,pfam,domain,ipr004136
6504,6504,PF03060,10,297,CONTINUOUS,PF03060,1.6e-80,312,pfam,domain,ipr004136
6505,6505,PF03060,27,363,CONTINUOUS,PF03060,1.9e-40,378,pfam,domain,ipr004136
6506,6506,PF03060,5,308,CONTINUOUS,PF03060,1.2e-50,338,pfam,domain,ipr004136
6507,6507,PF03060,89,309,CONTINUOUS,PF03060,3.5e-32,337,pfam,domain,ipr004136
6508,6508,PF03060,8,59,CONTINUOUS,PF03060,2.6e-09,280,pfam,domain,ipr004136
6509,6509,PF03060,20,358,CONTINUOUS,PF03060,7.3e-53,373,pfam,domain,ipr004136
6510,6510,PF03060,91,244,CONTINUOUS,PF03060,1.9e-25,316,pfam,domain,ipr004136
6511,6511,PF03060,5,342,CONTINUOUS,PF03060,1.4e-101,356,pfam,domain,ipr004136
6512,6512,PF03060,23,310,CONTINUOUS,PF03060,1.3e-42,376,pfam,domain,ipr004136
6513,6513,PF03060,9,346,CONTINUOUS,PF03060,3.3e-45,361,pfam,domain,ipr004136
6514,6514,PF03060,89,309,CONTINUOUS,PF03060,8e-31,332,pfam,domain,ipr004136
6515,6515,PF03060,11,345,CONTINUOUS,PF03060,1.2e-103,358,pfam,domain,ipr004136
6516,6516,PF03060,9,358,CONTINUOUS,PF03060,3.6e-53,373,pfam,domain,ipr004136
6517,6517,PF03060,15,342,CONTINUOUS,PF03060,3.6e-87,342,pfam,domain,ipr004136
6518,6518,PF03060,4,70,CONTINUOUS,PF03060,3.7e-15,304,pfam,domain,ipr004136
6519,6519,PF03060,11,72,CONTINUOUS,PF03060,9e-08,316,pfam,domain,ipr004136
6520,6520,PF03060,9,356,CONTINUOUS,PF03060,3.2e-45,376,pfam,domain,ipr004136
6521,6521,PF03060,32,357,CONTINUOUS,PF03060,3e-88,366,pfam,domain,ipr004136
6522,6522,PF03060,21,359,CONTINUOUS,PF03060,4.1e-51,373,pfam,domain,ipr004136
6523,6523,PF03060,12,61,CONTINUOUS,PF03060,2.9e-09,333,pfam,domain,ipr004136
6524,6524,PF03060,22,361,CONTINUOUS,PF03060,5.6e-44,376,pfam,domain,ipr004136
6525,6525,PF03060,7,309,CONTINUOUS,PF03060,1.4e-51,331,pfam,domain,ipr004136
6526,6526,PF03060,5,75,CONTINUOUS,PF03060,2.4e-20,83,pfam,domain,ipr004136
6527,6527,PF03060,1,111,CONTINUOUS,PF03060,6.1e-10,136,pfam,domain,ipr004136
6528,6528,PF03060,88,346,CONTINUOUS,PF03060,2.1e-07,545,pfam,domain,ipr004136
6529,6529,PF03060,13,311,CONTINUOUS,PF03060,1.5e-50,318,pfam,domain,ipr004136
6530,6530,PF03060,3,77,CONTINUOUS,PF03060,7.7e-20,317,pfam,domain,ipr004136
6531,6531,PF03060,9,358,CONTINUOUS,PF03060,2.1e-52,373,pfam,domain,ipr004136
6532,6532,PF03060,3,337,CONTINUOUS,PF03060,4.4e-104,350,pfam,domain,ipr004136
6533,6533,PF03060,12,342,CONTINUOUS,PF03060,6.3e-88,342,pfam,domain,ipr004136
6534,6534,PF03060,11,306,CONTINUOUS,PF03060,8e-41,316,pfam,domain,ipr004136
6535,6535,PF03060,10,312,CONTINUOUS,PF03060,4.4e-45,377,pfam,domain,ipr004136
6536,6536,PF03060,9,361,CONTINUOUS,PF03060,2.3e-51,376,pfam,domain,ipr004136
6537,6537,PF03060,6,340,CONTINUOUS,PF03060,6.2e-104,353,pfam,domain,ipr004136
6538,6538,PF03060,5,70,CONTINUOUS,PF03060,3.1e-14,304,pfam,domain,ipr004136
6539,6539,PF03060,3,329,CONTINUOUS,PF03060,4.7e-55,347,pfam,domain,ipr004136
6540,6540,PF03060,22,360,CONTINUOUS,PF03060,7.5e-44,375,pfam,domain,ipr004136
6541,6541,PF03060,11,307,CONTINUOUS,PF03060,1.2e-37,318,pfam,domain,ipr004136
6542,6542,PF03060,7,310,CONTINUOUS,PF03060,2.4e-51,332,pfam,domain,ipr004136
6543,6543,PF03060,10,312,CONTINUOUS,PF03060,3.5e-45,377,pfam,domain,ipr004136
6544,6544,PF03060,22,360,CONTINUOUS,PF03060,5.1e-43,375,pfam,domain,ipr004136
6545,6545,PF03060,11,307,CONTINUOUS,PF03060,5.9e-39,318,pfam,domain,ipr004136
6546,6546,PF03060,5,287,CONTINUOUS,PF03060,4.8e-50,304,pfam,domain,ipr004136
6547,6547,PF03060,10,337,CONTINUOUS,PF03060,1.5e-84,337,pfam,domain,ipr004136
6548,6548,PF03060,6,340,CONTINUOUS,PF03060,1.6e-104,353,pfam,domain,ipr004136
6549,6549,PF03060,9,358,CONTINUOUS,PF03060,8e-53,373,pfam,domain,ipr004136
6550,6550,PF03060,9,343,CONTINUOUS,PF03060,1.3e-104,356,pfam,domain,ipr004136
6551,6551,PF03060,4,287,CONTINUOUS,PF03060,1.9e-47,304,pfam,domain,ipr004136
6552,6552,PF03060,22,360,CONTINUOUS,PF03060,8.6e-45,375,pfam,domain,ipr004136
6553,6553,PF03060,15,342,CONTINUOUS,PF03060,7.4e-87,342,pfam,domain,ipr004136
6554,6554,PF03060,10,336,CONTINUOUS,PF03060,9.2e-87,337,pfam,domain,ipr004136
6555,6555,PF03060,5,309,CONTINUOUS,PF03060,5.5e-51,332,pfam,domain,ipr004136
6556,6556,PF03060,10,72,CONTINUOUS,PF03060,2.2e-07,316,pfam,domain,ipr004136
6557,6557,PF03060,9,358,CONTINUOUS,PF03060,9.1e-53,373,pfam,domain,ipr004136
6558,6558,PF03060,13,307,CONTINUOUS,PF03060,1.2e-40,316,pfam,domain,ipr004136
6559,6559,PF03060,21,311,CONTINUOUS,PF03060,8.2e-44,377,pfam,domain,ipr004136
6560,6560,PF03060,6,76,CONTINUOUS,PF03060,7.4e-13,316,pfam,domain,ipr004136
6561,6561,PF03060,3,337,CONTINUOUS,PF03060,2.2e-103,350,pfam,domain,ipr004136
6562,6562,PF03060,21,312,CONTINUOUS,PF03060,3.6e-45,377,pfam,domain,ipr004136
6563,6563,PF03060,3,320,CONTINUOUS,PF03060,7.3e-45,376,pfam,domain,ipr004136
6564,6564,PF03060,8,333,CONTINUOUS,PF03060,5.6e-76,340,pfam,domain,ipr004136
6565,6565,PF03060,6,361,CONTINUOUS,PF03060,1.1e-42,375,pfam,domain,ipr004136
6566,6566,PF03060,3,64,CONTINUOUS,PF03060,4.7e-10,279,pfam,domain,ipr004136
6567,6567,PF03060,22,359,CONTINUOUS,PF03060,1.8e-45,374,pfam,domain,ipr004136
6568,6568,PF03060,9,358,CONTINUOUS,PF03060,7.4e-51,373,pfam,domain,ipr004136
6569,6569,PF03060,6,342,CONTINUOUS,PF03060,2.1e-101,356,pfam,domain,ipr004136
6570,6570,PF03060,21,311,CONTINUOUS,PF03060,2.2e-44,376,pfam,domain,ipr004136
6571,6571,PF03060,3,62,CONTINUOUS,PF03060,1e-09,279,pfam,domain,ipr004136
6572,6572,PF03060,7,344,CONTINUOUS,PF03060,2.4e-101,357,pfam,domain,ipr004136
6573,6573,PF03060,21,320,CONTINUOUS,PF03060,1.6e-44,376,pfam,domain,ipr004136
6574,6574,PF03060,9,358,CONTINUOUS,PF03060,7.6e-52,373,pfam,domain,ipr004136
6575,6575,PF03060,5,309,CONTINUOUS,PF03060,2.3e-49,332,pfam,domain,ipr004136
6576,6576,PF03060,22,359,CONTINUOUS,PF03060,2e-45,374,pfam,domain,ipr004136
6577,6577,PF03060,3,336,CONTINUOUS,PF03060,1.4e-104,350,pfam,domain,ipr004136
6578,6578,PF03060,9,358,CONTINUOUS,PF03060,2.5e-53,373,pfam,domain,ipr004136
6579,6579,PF03060,21,312,CONTINUOUS,PF03060,4.7e-45,377,pfam,domain,ipr004136
6580,6580,PF03060,10,337,CONTINUOUS,PF03060,2.7e-84,337,pfam,domain,ipr004136
6581,6581,PF03060,22,360,CONTINUOUS,PF03060,2.9e-45,375,pfam,domain,ipr004136
6582,6582,PF03060,4,287,CONTINUOUS,PF03060,2.9e-49,304,pfam,domain,ipr004136
6583,6583,PF03060,12,307,CONTINUOUS,PF03060,6.8e-41,316,pfam,domain,ipr004136
6584,6584,PF03060,3,337,CONTINUOUS,PF03060,8.1e-104,350,pfam,domain,ipr004136
6585,6585,PF03060,10,312,CONTINUOUS,PF03060,5.6e-45,377,pfam,domain,ipr004136
6586,6586,PF03060,11,306,CONTINUOUS,PF03060,7.2e-40,316,pfam,domain,ipr004136
6587,6587,PF03060,6,82,CONTINUOUS,PF03060,6.1e-21,314,pfam,domain,ipr004136
6588,6588,PF03060,5,350,CONTINUOUS,PF03060,7.4e-72,357,pfam,domain,ipr004136
6589,6589,PF03060,57,286,CONTINUOUS,PF03060,5.9e-35,299,pfam,domain,ipr004136
6590,6590,PF03060,6,77,CONTINUOUS,PF03060,1.6e-20,314,pfam,domain,ipr004136
6591,6591,PF03060,6,352,CONTINUOUS,PF03060,9e-71,362,pfam,domain,ipr004136
6592,6592,PF03060,3,300,CONTINUOUS,PF03060,5.2e-62,314,pfam,domain,ipr004136
6593,6593,PF03060,82,308,CONTINUOUS,PF03060,3.5e-23,324,pfam,domain,ipr004136
6594,6594,PF03060,4,73,CONTINUOUS,PF03060,1.7e-19,274,pfam,domain,ipr004136
6595,6595,PF03060,5,79,CONTINUOUS,PF03060,8.8e-24,314,pfam,domain,ipr004136
6596,6596,PF03060,6,80,CONTINUOUS,PF03060,1.6e-22,314,pfam,domain,ipr004136
6597,6597,PF03060,7,84,CONTINUOUS,PF03060,1.9e-24,321,pfam,domain,ipr004136
6598,6598,PF03060,15,351,CONTINUOUS,PF03060,1.6e-55,366,pfam,domain,ipr004136
6599,6599,PF03060,2,54,CONTINUOUS,PF03060,1e-14,288,pfam,domain,ipr004136
6600,6600,PF03060,4,76,CONTINUOUS,PF03060,6.8e-19,312,pfam,domain,ipr004136
6601,6601,PF03060,4,77,CONTINUOUS,PF03060,2.5e-23,314,pfam,domain,ipr004136
6602,6602,PF03060,8,361,CONTINUOUS,PF03060,1.9e-56,370,pfam,domain,ipr004136
6603,6603,PF03060,17,312,CONTINUOUS,PF03060,6.7e-77,330,pfam,domain,ipr004136
6604,6604,PF03060,13,307,CONTINUOUS,PF03060,2.8e-58,320,pfam,domain,ipr004136
6605,6605,PF03060,2,49,CONTINUOUS,PF03060,2.4e-09,282,pfam,domain,ipr004136
6606,6606,PF03060,4,309,CONTINUOUS,PF03060,2.2e-61,325,pfam,domain,ipr004136
6607,6607,PF03060,13,357,CONTINUOUS,PF03060,1.7e-54,385,pfam,domain,ipr004136
6608,6608,PF03060,81,299,CONTINUOUS,PF03060,1.6e-53,316,pfam,domain,ipr004136
6609,6609,PF03060,82,300,CONTINUOUS,PF03060,4.1e-58,316,pfam,domain,ipr004136
6610,6610,PF03060,18,355,CONTINUOUS,PF03060,9.2e-54,362,pfam,domain,ipr004136
6611,6611,PF03060,1,60,CONTINUOUS,PF03060,1.6e-15,298,pfam,domain,ipr004136
6612,6612,PF03060,8,211,CONTINUOUS,PF03060,9.9e-41,221,pfam,domain,ipr004136
6613,6613,PF03060,82,303,CONTINUOUS,PF03060,5.2e-55,317,pfam,domain,ipr004136
6614,6614,PF03060,3,299,CONTINUOUS,PF03060,8.2e-65,301,pfam,domain,ipr004136
6615,6615,PF03060,5,299,CONTINUOUS,PF03060,3.8e-72,313,pfam,domain,ipr004136
6616,6616,PF03060,7,78,CONTINUOUS,PF03060,6.7e-20,317,pfam,domain,ipr004136
6617,6617,PF03060,1,329,CONTINUOUS,PF03060,4.4e-53,334,pfam,domain,ipr004136
6618,6618,PF03060,9,153,CONTINUOUS,PF03060,2.8e-28,169,pfam,domain,ipr004136
6619,6619,PF03060,6,299,CONTINUOUS,PF03060,1.3e-63,317,pfam,domain,ipr004136
6620,6620,PF03060,4,309,CONTINUOUS,PF03060,2.2e-61,325,pfam,domain,ipr004136
6621,6621,PF03060,1,60,CONTINUOUS,PF03060,1.6e-15,298,pfam,domain,ipr004136
6622,6622,PF03060,15,99,CONTINUOUS,PF03060,1.5e-12,372,pfam,domain,ipr004136
6623,6623,PF03060,82,300,CONTINUOUS,PF03060,4.1e-58,316,pfam,domain,ipr004136
6624,6624,PF03060,7,263,CONTINUOUS,PF03060,4.5e-45,267,pfam,domain,ipr004136
6625,6625,PF03060,7,82,CONTINUOUS,PF03060,4.3e-18,316,pfam,domain,ipr004136
6626,6626,PF03060,13,357,CONTINUOUS,PF03060,1.8e-56,385,pfam,domain,ipr004136
6627,6627,PF03060,3,342,CONTINUOUS,PF03060,8e-118,361,pfam,domain,ipr004136
6628,6628,PF03060,17,309,CONTINUOUS,PF03060,4.6e-28,419,pfam,domain,ipr004136
6629,6629,PF03060,174,399,CONTINUOUS,PF03060,1.7e-33,809,pfam,domain,ipr004136
6630,6630,PF03060,65,304,CONTINUOUS,PF03060,2.9e-22,316,pfam,domain,ipr004136
6631,6631,PF03060,6,300,CONTINUOUS,PF03060,5.2e-71,318,pfam,domain,ipr004136
6632,6632,PF03060,6,345,CONTINUOUS,PF03060,9.9e-81,359,pfam,domain,ipr004136
6633,6633,PF03060,9,343,CONTINUOUS,PF03060,1.3e-76,344,pfam,domain,ipr004136
6634,6634,PF03060,17,349,CONTINUOUS,PF03060,9e-74,352,pfam,domain,ipr004136
6635,6635,PF03060,9,338,CONTINUOUS,PF03060,1.1e-54,355,pfam,domain,ipr004136
6636,6636,PF03060,11,334,CONTINUOUS,PF03060,2.4e-32,350,pfam,domain,ipr004136
6637,6637,PF03060,15,52,CONTINUOUS,PF03060,1.1e-06,350,pfam,domain,ipr004136
6638,6638,PF03060,12,350,CONTINUOUS,PF03060,3.9e-47,369,pfam,domain,ipr004136
6639,6639,PF03060,3,336,CONTINUOUS,PF03060,3.6e-93,349,pfam,domain,ipr004136
6640,6640,PF03060,3,342,CONTINUOUS,PF03060,3.6e-117,358,pfam,domain,ipr004136
6641,6641,PF03060,3,341,CONTINUOUS,PF03060,1.5e-118,358,pfam,domain,ipr004136
6642,6642,PF03060,102,204,CONTINUOUS,PF03060,1.3e-08,2387,pfam,domain,ipr004136
6643,6643,PF03060,14,350,CONTINUOUS,PF03060,7.3e-50,370,pfam,domain,ipr004136
6644,6644,PF03060,99,199,CONTINUOUS,PF03060,9.9e-08,2401,pfam,domain,ipr004136
6645,6645,PF03060,1,318,CONTINUOUS,PF03060,1e-88,334,pfam,domain,ipr004136
6646,6646,PF03060,3,341,CONTINUOUS,PF03060,9.3e-119,358,pfam,domain,ipr004136
6647,6647,PF03060,12,350,CONTINUOUS,PF03060,1.9e-47,369,pfam,domain,ipr004136
6648,6648,PF03060,3,336,CONTINUOUS,PF03060,1.4e-95,349,pfam,domain,ipr004136
6649,6649,PF03060,13,351,CONTINUOUS,PF03060,6.8e-50,369,pfam,domain,ipr004136
6650,6650,PF03060,39,297,CONTINUOUS,PF03060,4.7e-10,461,pfam,domain,ipr004136
6651,6651,PF03060,3,342,CONTINUOUS,PF03060,6.9e-117,362,pfam,domain,ipr004136
6652,6652,PF03060,3,342,CONTINUOUS,PF03060,2.1e-115,358,pfam,domain,ipr004136
6653,6653,PF03060,12,350,CONTINUOUS,PF03060,6.4e-48,369,pfam,domain,ipr004136
6654,6654,PF03060,15,350,CONTINUOUS,PF03060,6.3e-47,369,pfam,domain,ipr004136
6655,6655,PF03060,3,342,CONTINUOUS,PF03060,3.6e-115,358,pfam,domain,ipr004136
6656,6656,PF03060,3,336,CONTINUOUS,PF03060,3.4e-94,349,pfam,domain,ipr004136
6657,6657,PF03060,3,342,CONTINUOUS,PF03060,5.4e-116,358,pfam,domain,ipr004136
6658,6658,PF03060,4,71,CONTINUOUS,PF03060,2.1e-12,310,pfam,domain,ipr004136
6659,6659,PF03060,3,355,CONTINUOUS,PF03060,4.8e-115,372,pfam,domain,ipr004136
6660,6660,PF03060,3,337,CONTINUOUS,PF03060,6.4e-93,349,pfam,domain,ipr004136
6661,6661,PF03060,3,342,CONTINUOUS,PF03060,6.2e-117,361,pfam,domain,ipr004136
6662,6662,PF03060,3,336,CONTINUOUS,PF03060,4.4e-94,348,pfam,domain,ipr004136
6663,6663,PF03060,300,528,CONTINUOUS,PF03060,2.2e-11,2324,pfam,domain,ipr004136
6664,6664,PF03060,3,358,CONTINUOUS,PF03060,7.8e-111,372,pfam,domain,ipr004136
6665,6665,PF03060,13,355,CONTINUOUS,PF03060,1.7e-51,374,pfam,domain,ipr004136
6666,6666,PF03060,211,337,CONTINUOUS,PF03060,1.3e-08,489,pfam,domain,ipr004136
6667,6667,PF03060,3,342,CONTINUOUS,PF03060,1.8e-118,361,pfam,domain,ipr004136
6668,6668,PF03060,1,60,CONTINUOUS,PF03060,1.9e-16,292,pfam,domain,ipr004136
6669,6669,PF03060,9,79,CONTINUOUS,PF03060,5.2e-12,326,pfam,domain,ipr004136
6670,6670,PF03060,22,324,CONTINUOUS,PF03060,2.2e-42,328,pfam,domain,ipr004136
6671,6671,PF03060,5,312,CONTINUOUS,PF03060,2.9e-54,326,pfam,domain,ipr004136
6672,6672,PF03060,16,320,CONTINUOUS,PF03060,7.8e-10,467,pfam,domain,ipr004136
6673,6673,PF03060,80,306,CONTINUOUS,PF03060,5.1e-13,328,pfam,domain,ipr004136
6674,6674,PF03060,15,90,CONTINUOUS,PF03060,3.8e-18,339,pfam,domain,ipr004136
6675,6675,PF03060,72,304,CONTINUOUS,PF03060,4.4e-08,328,pfam,domain,ipr004136
6676,6676,PF03060,5,367,CONTINUOUS,PF03060,1.3e-71,380,pfam,domain,ipr004136
6677,6677,PF03060,81,299,CONTINUOUS,PF03060,2.7e-57,317,pfam,domain,ipr004136
6678,6678,PF03060,5,304,CONTINUOUS,PF03060,3.9e-70,315,pfam,domain,ipr004136
6679,6679,PF03060,11,310,CONTINUOUS,PF03060,3.5e-51,314,pfam,domain,ipr004136
6680,6680,PF03060,10,354,CONTINUOUS,PF03060,2.4e-57,366,pfam,domain,ipr004136
6681,6681,PF03060,11,307,CONTINUOUS,PF03060,4e-53,319,pfam,domain,ipr004136
6682,6682,PF03060,4,76,CONTINUOUS,PF03060,9.8e-24,318,pfam,domain,ipr004136
6683,6683,PF03060,7,306,CONTINUOUS,PF03060,3.2e-60,323,pfam,domain,ipr004136
6684,6684,PF03060,17,327,CONTINUOUS,PF03060,2.5e-47,340,pfam,domain,ipr004136
6685,6685,PF03060,3,343,CONTINUOUS,PF03060,7e-67,354,pfam,domain,ipr004136
6686,6686,PF03060,11,251,CONTINUOUS,PF03060,4e-17,326,pfam,domain,ipr004136
6687,6687,PF03060,7,345,CONTINUOUS,PF03060,7.1e-67,353,pfam,domain,ipr004136
6688,6688,PF03060,8,342,CONTINUOUS,PF03060,3.4e-76,355,pfam,domain,ipr004136
6689,6689,PF03060,13,305,CONTINUOUS,PF03060,1.4e-25,319,pfam,domain,ipr004136
6690,6690,PF03060,18,297,CONTINUOUS,PF03060,7.5e-35,396,pfam,domain,ipr004136
6691,6691,PF03060,10,350,CONTINUOUS,PF03060,1.6e-74,366,pfam,domain,ipr004136
6692,6692,PF03060,11,349,CONTINUOUS,PF03060,1.4e-76,359,pfam,domain,ipr004136
6693,6693,PF03060,84,342,CONTINUOUS,PF03060,2.5e-48,362,pfam,domain,ipr004136
6694,6694,PF03060,6,73,CONTINUOUS,PF03060,5.5e-13,328,pfam,domain,ipr004136
6695,6695,PF03060,10,347,CONTINUOUS,PF03060,4.1e-74,367,pfam,domain,ipr004136
6696,6696,PF03060,19,298,CONTINUOUS,PF03060,1.9e-33,396,pfam,domain,ipr004136
6697,6697,PF03060,95,311,CONTINUOUS,PF03060,8.9e-22,338,pfam,domain,ipr004136
6698,6698,PF03060,13,305,CONTINUOUS,PF03060,4.6e-25,319,pfam,domain,ipr004136
6699,6699,PF03060,12,350,CONTINUOUS,PF03060,2e-78,359,pfam,domain,ipr004136
6700,6700,PF03060,13,305,CONTINUOUS,PF03060,8.6e-25,319,pfam,domain,ipr004136
6701,6701,PF03060,19,298,CONTINUOUS,PF03060,1.4e-33,396,pfam,domain,ipr004136
6702,6702,PF03060,11,351,CONTINUOUS,PF03060,5.9e-76,360,pfam,domain,ipr004136
